"","LInkZip","iMISID","ZCTA","NameLnk","NAME","PLACEFP","STATEFP","GISJOIN","SUST_MANAGER","SUST_CEOPLAN","SUST_CITCOMM","SUST_BUDGET","SUST_STAFF","POV_POL_CNT","POV_POL_PER","WAT_POL_PER","WAT_POL_CNT","EM_POL_CNT","EM_POL_PER","USTATE.","USTATE","UPO","UMETRO","STATE_GHG","STATE_WATER","STATE_POV","GEO.id","POV_PERCENT_POP","PER_CAP_INC","COL_DEG_PER","DEM_VOTE_PER","NRDC_COUNT","NRDC_PER_ZIP_POP","NRDC_PER_TOTNRDC","WATER_STRESS_RANKS","WATER_STRESS_TOPN_PER","WATER_STRESS_ABS","TOT_POP"
"75",16833,176974,"16833","42_Curwensville","Curwensville","17840","42","G42017840",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Curwensville",0,0.9,3,2.48,"8600000US16833","12.2","19148","8.7086721",43.82,4,0.000760890241582652,0,3,0,0.380232299,2463
"76",16915,176985,"16915","42_Coudersport","Coudersport","16448","42","G42016448",0,0,1,0,0,1,0.2,0.2,1,0,0,42,"PA","Coudersport",0,0.9,3,2.48,"8600000US16915","8.4","26017","18.0401085",31.04,9,0.00151464153483676,0,34,0,0.42232559,16720
"77",17013,177005,"17013","42_Carlisle","Carlisle","11272","42","G42011272",0,1,0,0,0,2,0.4,0,0,0,0,42,"PA","Carlisle",0,0.9,3,2.48,"8600000US17013","8.7","27481","26.3304059",43.11,124,0.00359774850577381,2e-04,3,0,0.380232299,229361
"78",17013,177006,"17013","42_Carlisle","Carlisle","11272","42","G42011272",1,0,0,0,1,3,0.6,0.2,1,0,0,42,"PA","Carlisle",1,0.9,3,2.48,"8600000US17013","8.7","27481","26.3304059",43.11,124,0.00359774850577381,2e-04,3,0,0.380232299,18379
"79",17022,177025,"17022","42_Elizabethtown","Elizabethtown","23016","42","G42023016",1,0,0,0,0,1,0.2,0,0,0,0,42,"PA","Elizabethtown",0,0.9,3,2.48,"8600000US17022","8.2","26410","22.6155544",44.03,59,0.00206373080555458,1e-04,3,0,0.380232299,12069
"80",17043,177057,"17043","42_Lemoyne","Lemoyne","42648","42","G42042648",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Lemoyne",0,0.9,3,2.48,"8600000US17043","14.7","29757","25.2405583",43.11,26,0.00451467268623025,0,3,0,0.380232299,3949
"81",17043,177058,"17043","42_Wormleysburg","Wormleysburg","86528","42","G42086528",1,0,0,0,0,0,0,0.2,1,0,0,42,"PA","Wormleysburg",0,0.9,3,2.48,"8600000US17043","14.7","29757","25.2405583",43.11,26,0.00451467268623025,0,3,0,0.380232299,2622
"82",17050,177075,"17050","42_Mechanicsburg","Mechanicsburg","48376","42","G42048376",0,0,1,0,0,0,0,0.2,1,0,0,42,"PA","Mechanicsburg",0,0.9,3,2.48,"8600000US17050","2.9","42161","36.7947377",43.11,69,0.00211565585331453,1e-04,3,0,0.380232299,13179
"83",17066,177110,"17066","42_Mount Union","Mount Union","51984","42","G42051984",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Mount Union",0,0.9,3,2.48,"8600000US17066","16","19572","13.060787",32.97,3,0.000517330574236937,0,3,0,0.380232299,2344
"84",17109,177150,"17109","42_Harrisburg","Harrisburg","32800","42","G42032800",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Harrisburg",0,0.9,3,2.48,"8600000US17109","7.8","27616","19.2741864",54.58,54,0.00236303168212848,1e-04,3,0,0.380232299,45422
"85",17313,177219,"17313","42_Dallastown","Dallastown","18072","42","G42018072",0,0,0,0,0,0,0,0.2,1,0,0,42,"PA","Dallastown",0,0.9,3,2.48,"8600000US17313","8.8","28487","18.1312881",43.12,12,0.00111742247881553,0,3,0,0.380232299,27105
"86",17315,177188,"17315","42_Dover","Dover","19696","42","G42019696",1,0,0,0,0,0,0,0.8,4,0,0,42,"PA","Dover",0,0.9,3,2.48,"8600000US17315","6","25521","12.184815",43.12,42,0.00157232704402516,1e-04,3,0,0.380232299,21153
"87",17331,177198,"17331","42_Hanover","Hanover","32448","42","G42032448",1,0,0,0,0,1,0.2,0.8,4,0,0,42,"PA","Hanover",0,0.9,3,2.48,"8600000US17331","7.1","27626","14.451978",43.12,89,0.0017927283714372,1e-04,3,0,0.380232299,15025
"88",17362,414075,"17362","42_Spring Grove","Spring Grove","73192","42","G42073192",1,0,0,0,0,0,0,0.2,1,0,0,42,"PA","Spring Grove",0,0.9,3,2.48,"8600000US17362","4.3","27880","14.2720759",43.12,18,0.00131694468832309,0,3,0,0.380232299,7905
